City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,47.86,61,0,10.36,AR,1683799494
1,newnham,-41.3833,147.1333,52.75,71,100,8.05,AU,1683799647
2,bafoulabe,13.8065,-10.8321,98.08,23,95,8.23,ML,1683799648
3,yaren,-0.5472,166.916,83.8,79,18,13.24,NR,1683799649
4,kavaratti,10.5669,72.642,85.46,65,91,5.59,IN,1683799650
5,iskateley,67.6803,53.1512,32.94,92,100,13.13,RU,1683799650
6,edinburgh of the seven seas,-37.0676,-12.3116,59.9,71,100,21.09,SH,1683799651
7,west island,-12.1568,96.8225,85.98,84,75,10.36,CC,1683799651
8,vanimo,-2.6741,141.3028,80.42,80,98,1.88,PG,1683799652
9,melekeok village,7.4957,134.6367,84.51,69,89,3.09,PW,1683799652
10,albany,42.6001,-73.9662,50.52,79,23,1.99,US,1683799595
11,talnakh,69.4865,88.3972,11.21,84,22,13.91,RU,1683799654
12,tura,25.5198,90.2201,89.51,37,45,5.99,IN,1683799469
13,cobija,-11.0267,-68.7692,67.08,90,94,2.73,BO,1683799655
14,la ronge,55.1001,-105.2842,48.45,76,20,3.44,CA,1683799380
15,anadyr,64.75,177.4833,32.5,80,0,2.24,RU,1683799656
16,coquimbo,-29.9533,-71.3436,53.33,100,100,3.44,CL,1683799657
17,nemuro,43.3236,145.575,39.81,78,53,7.78,JP,1683799658
18,waitangi,-43.9535,-176.5597,47.82,58,80,23.13,NZ,1683799658
19,port mathurin,-19.6833,63.4167,78.13,68,62,19.91,MU,1683799659
20,borzna,51.2546,32.4269,58.44,42,87,5.84,UA,1683799659
21,puerto natales,-51.7236,-72.4875,40.64,93,62,3.49,CL,1683799660
22,ribeira grande,38.5167,-28.7,64.78,77,20,15.01,PT,1683799661
23,punta arenas,-53.15,-70.9167,46.51,76,75,19.57,CL,1683799560
24,alofi,-19.0595,-169.9187,79.12,84,3,18.32,NU,1683799662
25,rio grande,-32.035,-52.0986,55.22,76,92,11.65,BR,1683799662
26,bethel,41.3712,-73.414,50.94,80,0,3.44,US,1683799663
27,nishinoomote,30.7333,131.0,68.88,61,95,8.88,JP,1683799663
28,nueve de julio,-35.4444,-60.8831,45.97,84,78,6.26,AR,1683799406
29,koh kong,11.6175,102.9806,86.97,67,56,5.91,KH,1683799664
30,port alfred,-33.5906,26.891,72.18,76,14,8.01,ZA,1683799664
31,bardai,11.65,7.2333,93.15,33,100,12.03,NG,1683799665
32,sfax,34.7406,10.7603,71.33,55,35,7.7,TN,1683799665
33,isafjordur,66.0755,-23.124,48.24,71,0,2.3,IS,1683799666
34,mendoza,-32.8908,-68.8272,54.93,55,86,3.49,AR,1683799666
35,blackmans bay,-43.0167,147.3167,51.93,81,97,5.08,AU,1683799666
36,anse royale,-4.7333,55.5167,81.57,76,16,12.39,SC,1683799667
37,gizo,-8.103,156.8419,82.81,77,97,6.87,SB,1683799667
38,caleta de carquin,-11.0925,-77.6267,69.91,88,97,8.34,PE,1683799668
39,port-aux-francais,-49.35,70.2167,44.06,92,100,22.84,TF,1683799669
40,utrik,11.2278,169.8474,81.48,84,96,18.43,MH,1683799669
41,adamstown,-25.066,-130.1015,70.45,59,100,22.53,PN,1683799669
42,pangai,-19.8,-174.35,78.71,79,1,13.2,TO,1683799670
43,ocean shores,46.9737,-124.1563,52.02,90,0,4.61,US,1683799670
44,vila do maio,15.1333,-23.2167,77.79,84,42,15.48,CV,1683799671
45,selfoss,63.9331,-20.9971,47.05,86,88,5.93,IS,1683799671
46,el matama,16.7095,33.3565,105.67,4,35,12.35,SD,1683799671
47,kapuskasing,49.4169,-82.4331,48.83,87,10,4.81,CA,1683799672
48,iqaluit,63.7506,-68.5145,13.69,92,12,15.99,CA,1683799672
49,olonkinbyen,70.9221,-8.7187,32.11,96,100,12.03,SJ,1683799673
50,constantia,44.1833,28.65,59.7,60,3,11.39,RO,1683799438
51,kodiak,57.79,-152.4072,40.51,93,100,10.36,US,1683799594
52,hadibu,12.65,54.0333,87.3,59,14,2.86,YE,1683799674
53,pangody,65.85,74.4859,17.89,79,14,11.99,RU,1683799674
54,yellowknife,62.456,-114.3525,42.57,58,47,5.01,CA,1683799675
55,acapulco de juarez,16.8634,-99.8901,80.42,83,40,5.75,MX,1683799675
56,weno,7.4515,151.8468,84.11,75,100,9.48,FM,1683799676
57,petropavlovsk-kamchatsky,53.0452,158.6483,32.43,88,100,18.52,RU,1683799676
58,yeppoon,-23.1333,150.7333,69.58,73,1,15.52,AU,1683799676
59,bredasdorp,-34.5322,20.0403,57.51,81,100,13.71,ZA,1683799677
60,tiksi,71.6872,128.8694,15.3,78,100,29.08,RU,1683799677
61,jamestown,42.097,-79.2353,47.71,84,0,6.91,US,1683799573
62,haiku-pauwela,20.9219,-156.3051,73.04,83,75,3.44,US,1683799678
63,margaret river,-33.95,115.0667,58.6,56,100,2.51,AU,1683799679
64,hithadhoo,-0.6,73.0833,83.75,76,89,13.6,MV,1683799679
65,mbanza kongo,-6.267,14.2401,82.8,58,67,3.85,AO,1683799679
66,luderitz,-26.6481,15.1594,68.38,58,100,18.23,NA,1683799680
67,saipan,15.1355,145.701,83.1,100,40,6.91,MP,1683799513
68,hermanus,-34.4187,19.2345,57.79,83,100,12.82,ZA,1683799681
69,olyokminsk,60.3736,120.4264,39.83,59,100,5.32,RU,1683799681
70,pawni,20.7833,79.6333,108.52,5,56,5.19,IN,1683799681
71,thompson,55.7435,-97.8558,46.56,93,20,6.91,CA,1683799464
72,sao jose da coroa grande,-8.8978,-35.1478,77.94,83,21,3.42,BR,1683799683
73,bilibino,68.0546,166.4372,28.99,94,94,2.57,RU,1683799683
74,tralee,52.2704,-9.7026,52.05,93,100,11.5,IE,1683799684
75,biloela,-24.4167,150.5,64.29,69,77,8.37,AU,1683799684
76,lihue,21.9789,-159.3672,72.99,82,100,9.22,US,1683799544
77,san andres,12.5847,-81.7006,82.42,83,20,11.5,CO,1683799686
78,barra do corda,-5.5,-45.25,73.9,86,26,0.63,BR,1683799686
79,ust-nera,64.5667,143.2,38.59,79,100,6.33,RU,1683799687
80,loanda,-8.8368,13.2343,89.6,62,75,10.36,AO,1683799688
81,vilyuchinsk,52.9306,158.4028,33.33,93,100,13.4,RU,1683799688
82,saint-philippe,-21.3585,55.7679,83.79,76,58,14.09,RE,1683799689
83,east london,-33.0153,27.9116,74.21,62,0,17.83,ZA,1683799689
84,wailua homesteads,22.0669,-159.378,72.39,83,100,9.22,US,1683799690
85,trapani,37.8333,12.6667,69.28,54,0,14.12,IT,1683799698
86,grytviken,-54.2811,-36.5092,27.57,78,16,9.95,GS,1683799699
87,cavelossim,15.1726,73.9419,88.86,68,68,14.92,IN,1683799699
88,fredericksburg,38.3032,-77.4605,53.38,93,0,0.0,US,1683799447
89,pagar alam,-4.0167,103.2667,79.54,75,45,4.23,ID,1683799700
90,bubaque,11.2833,-15.8333,80.02,69,98,10.29,GW,1683799701
91,barra de santo antonio,-9.4047,-35.5072,76.28,84,9,6.02,BR,1683799604
92,queenstown,-31.8976,26.8753,78.44,17,0,13.73,ZA,1683799702
93,dickson,36.077,-87.3878,65.97,94,100,4.61,US,1683799618
94,viedma,-40.8135,-62.9967,49.95,70,98,12.28,AR,1683799703
95,kapa'a,22.0752,-159.319,73.72,82,100,9.22,US,1683799704
96,port lincoln,-34.7333,135.8667,61.27,72,99,9.89,AU,1683799704
97,holualoa,19.6228,-155.9522,71.44,80,0,8.05,US,1683799705
98,dhuusamarreeb,5.535,46.3861,94.87,34,96,18.3,SO,1683799705
99,pisco,-13.7,-76.2167,66.25,94,100,2.3,PE,1683799706
100,kristiansund,63.1115,7.732,54.25,76,0,2.3,NO,1683799707
101,arkhangel'sk,64.5401,40.5433,63.1,42,100,12.12,RU,1683799707
102,happy valley-goose bay,53.3168,-60.3315,33.75,64,53,6.24,CA,1683799708
103,dudinka,69.4058,86.1778,11.62,88,17,15.12,RU,1683799708
104,stanley,54.868,-1.6985,59.52,71,40,3.44,GB,1683799709
105,as sulayyil,20.4607,45.5779,100.85,8,7,15.01,SA,1683799710
106,labytnangi,66.6572,66.4183,27.12,83,100,4.83,RU,1683799710
107,port douglas,-16.4833,145.4667,73.18,83,95,10.47,AU,1683799711
108,sarmiento,-45.5882,-69.07,51.31,76,48,4.45,AR,1683799711
109,hamilton,39.1834,-84.5333,57.97,75,20,6.91,US,1683799519
110,shache,38.4167,77.2406,81.43,7,1,9.15,CN,1683799712
111,longyearbyen,78.2186,15.6401,35.44,87,75,19.57,SJ,1683799713
112,katsuura,35.1333,140.3,57.22,64,73,16.02,JP,1683799713
113,sinabang,2.4803,96.3801,84.97,76,65,11.12,ID,1683799714
114,nantucket,41.2835,-70.0995,53.74,93,0,12.66,US,1683799494
115,ma'an,26.9775,110.7211,61.34,83,98,2.33,CN,1683799715
116,invercargill,-46.4,168.35,47.01,95,100,3.0,NZ,1683799613
