City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,anadyr,64.75,177.4833,32.5,86,75,11.18,RU,1683971149
1,tadine,-21.55,167.8833,74.34,70,100,20.58,NC,1683971149
2,vershino-darasunskiy,52.35,115.5167,44.83,78,100,6.11,RU,1683971150
3,margate,51.3813,1.3862,56.89,82,14,13.0,GB,1683971150
4,fortuna,40.5982,-124.1573,52.93,93,100,0.0,US,1683971150
5,cabo san lucas,22.8909,-109.9124,71.06,59,1,1.01,MX,1683970878
6,bilibino,68.0546,166.4372,10.17,90,94,8.34,RU,1683971151
7,adamstown,-25.066,-130.1015,72.41,61,98,16.69,PN,1683971152
8,grand gaube,-20.0064,57.6608,84.6,67,14,5.01,MU,1683971152
9,qaqortoq,60.7167,-46.0333,31.91,90,100,2.66,GL,1683971153
10,vilyuchinsk,52.9306,158.4028,48.47,80,19,7.78,RU,1683971153
11,waitangi,-43.9535,-176.5597,52.65,61,82,14.05,NZ,1683971154
12,ushuaia,-54.8,-68.3,37.06,65,0,2.3,AR,1683970990
13,edinburgh of the seven seas,-37.0676,-12.3116,65.03,94,100,26.11,SH,1683971155
14,fort bragg,35.139,-79.006,64.81,89,0,4.61,US,1683971155
15,invercargill,-46.4,168.35,47.01,95,76,3.0,NZ,1683971156
16,talnakh,69.4865,88.3972,15.21,82,100,10.11,RU,1683971156
17,kununurra,-15.7667,128.7333,78.78,31,18,4.61,AU,1683971156
18,tiksi,71.6872,128.8694,13.35,86,79,5.35,RU,1683971157
19,ribeira grande,38.5167,-28.7,65.77,82,75,2.3,PT,1683971157
20,port-aux-francais,-49.35,70.2167,39.13,65,96,14.81,TF,1683971158
21,jamestown,42.097,-79.2353,58.64,75,0,5.75,US,1683971127
22,abeche,13.8292,20.8324,97.97,22,100,3.87,TD,1683971159
23,vernon,50.2581,-119.2691,59.29,56,7,5.75,CA,1683970519
24,mirnyy,62.5353,113.9611,43.27,65,100,6.58,RU,1683971160
25,bamboo flat,11.7,92.7167,85.86,79,100,21.97,IN,1683971160
26,alaghsas,17.0187,8.0168,100.29,17,85,13.8,NE,1683971160
27,zholymbet,51.7433,71.7122,67.84,51,99,10.63,KZ,1683971161
28,thinadhoo,0.5333,72.9333,82.9,78,88,15.68,MV,1683971161
29,novaya igirma,57.1334,103.9112,40.91,48,100,11.52,RU,1683971162
30,luderitz,-26.6481,15.1594,68.72,42,78,25.3,NA,1683971162
31,blackmans bay,-43.0167,147.3167,46.53,87,16,1.97,AU,1683971163
32,isafjordur,66.0755,-23.124,46.44,61,40,9.22,IS,1683971163
33,lata,40.1629,-8.3327,67.08,32,1,8.55,PT,1683971164
34,colonia,50.9333,6.95,70.03,62,0,2.3,DE,1683971165
35,santo amaro da imperatriz,-27.6881,-48.7786,60.8,93,16,3.31,BR,1683970982
36,margaret river,-33.95,115.0667,58.5,71,84,10.13,AU,1683971166
37,mili,6.0815,171.735,83.12,82,98,17.52,MH,1683971166
38,sitka,57.0531,-135.33,48.09,87,100,4.61,US,1683971167
39,olonkinbyen,70.9221,-8.7187,34.14,89,41,20.15,SJ,1683971167
40,rongelap,11.1635,166.8941,81.64,82,29,17.54,MH,1683971168
41,kutum,14.2,24.6667,95.16,11,11,13.4,SD,1683971169
42,bubaque,11.2833,-15.8333,78.48,74,100,6.8,GW,1683971170
43,petropavlovsk-kamchatsky,53.0452,158.6483,46.99,46,40,11.18,RU,1683971170
44,saipan,15.1355,145.701,83.1,100,40,0.0,MP,1683971171
45,grytviken,-54.2811,-36.5092,30.94,83,100,9.62,GS,1683971171
46,shaowu,27.3409,117.4831,73.56,72,100,3.4,CN,1683971172
47,thompson,55.7435,-97.8558,32.16,93,40,0.0,CA,1683971172
48,hawaiian paradise park,19.5933,-154.9731,71.11,86,100,4.61,US,1683971173
49,hamilton,39.1834,-84.5333,68.09,96,100,6.91,US,1683971174
50,bethel,41.3712,-73.414,66.15,73,100,0.0,US,1683971174
51,alice springs,-23.7,133.8833,60.35,31,0,8.05,AU,1683971165
52,nar'yan-mar,67.6713,53.087,32.41,88,99,14.36,RU,1683971175
53,west island,-12.1568,96.8225,78.78,94,40,13.8,CC,1683971176
54,pontianak,-0.0333,109.3333,85.98,79,40,9.22,ID,1683971176
55,iqaluit,63.7506,-68.5145,17.33,86,100,24.16,CA,1683971177
56,tchibanga,-2.85,11.0333,86.76,68,88,1.01,GA,1683971177
57,mikhaylovka,50.06,43.2379,71.78,40,7,7.27,RU,1683971178
58,kodinar,20.7903,70.7031,94.26,44,0,21.5,IN,1683971179
59,klyuchi,52.2667,79.1667,65.03,21,42,10.69,RU,1683971179
60,princeville,45.7668,-61.2985,50.41,97,86,6.91,CA,1683971179
61,midvagur,62.0511,-7.1939,49.03,100,100,8.05,FO,1683971180
62,puerto armuelles,8.2833,-82.8667,78.08,88,41,4.16,PA,1683971180
63,port mathurin,-19.6833,63.4167,78.57,72,12,16.93,MU,1683971181
64,puerto ayora,-0.7393,-90.3518,78.55,98,50,8.01,EC,1683971181
65,oroqen zizhiqi,50.5667,123.7167,60.93,27,53,2.53,CN,1683971182
66,bonthe,7.5264,-12.505,87.78,66,78,1.77,SL,1683971182
67,claveria,18.6074,121.0832,80.22,83,92,6.11,PH,1683971183
68,chonchi,-42.6128,-73.8092,56.41,94,100,5.95,CL,1683971184
69,puerto baquerizo moreno,-0.9,-89.6,77.72,88,36,10.47,EC,1683970945
70,okhotsk,59.3833,143.3,32.2,94,100,8.37,RU,1683971185
71,tarauaca,-8.1614,-70.7656,70.63,99,96,2.71,BR,1683971185
72,kristiansund,63.1115,7.732,53.65,81,75,4.61,NO,1683971185
73,el nido,11.1858,119.3956,84.79,75,95,6.85,PH,1683971186
74,port elizabeth,-33.918,25.5701,62.89,81,75,11.5,ZA,1683971187
75,piacabucu,-10.4056,-36.4344,77.2,79,91,6.6,BR,1683971187
76,mahdia,35.5047,11.0622,73.35,62,100,6.53,TN,1683971188
77,ar rutbah,33.0381,40.2848,81.34,19,0,15.14,IQ,1683971188
78,vilyuysk,63.7553,121.6247,47.44,51,100,3.42,RU,1683971189
79,puerto natales,-51.7236,-72.4875,36.45,92,100,2.62,CL,1683971189
80,dongkan,33.9997,119.8308,76.26,56,31,6.85,CN,1683971190
81,nikolayevsk-on-amure,53.1406,140.73,59.85,51,43,6.51,RU,1683971190
82,scituate,42.1959,-70.7259,64.06,79,20,5.75,US,1683971191
83,wailua homesteads,22.0669,-159.378,70.23,89,100,5.75,US,1683971192
84,albany,42.6001,-73.9662,61.21,79,100,1.99,US,1683971192
85,hasaki,35.7333,140.8333,62.22,63,99,15.86,JP,1683971193
86,zouerate,22.7187,-12.4521,88.45,17,24,11.18,MR,1683971193
87,bredasdorp,-34.5322,20.0403,61.29,50,73,17.29,ZA,1683971193
88,tolanaro,-25.0319,46.9987,80.67,61,20,11.5,MG,1683971194
89,jayapura,-2.5333,140.7,81.79,85,19,2.8,ID,1683971195
90,punta arenas,-53.15,-70.9167,37.51,81,75,9.22,CL,1683971195
91,dabhol,17.6,73.1667,91.11,50,1,10.54,IN,1683971196
92,castillos,-34.1667,-53.8333,51.35,85,100,6.98,UY,1683971196
93,alesund,62.4723,6.1549,57.76,84,75,2.3,NO,1683971197
94,stanley,54.868,-1.6985,51.82,76,40,1.14,GB,1683971197
95,hadyach,50.3711,33.991,67.19,45,3,5.21,UA,1683971198
96,cedral,23.8,-100.7333,65.35,78,2,7.92,MX,1683971199
97,kisangani,0.5167,25.2,93.85,45,97,1.74,CD,1683971200
98,kapuskasing,49.4169,-82.4331,37.4,81,20,6.91,CA,1683971200
99,san patricio,28.017,-97.5169,79.84,88,100,15.73,US,1683971201
100,porto velho,-8.7619,-63.9039,75.25,94,40,2.3,BR,1683971201
101,port lincoln,-34.7333,135.8667,60.28,75,2,9.31,AU,1683971202
102,kerema,-7.9631,145.7785,80.15,88,72,7.18,PG,1683971202
103,agacoren,38.8748,33.9167,60.19,61,78,12.5,TR,1683971203
104,new norfolk,-42.7826,147.0587,47.71,68,14,1.99,AU,1683971204
105,aioun,16.6614,-9.6149,101.77,7,71,7.87,MR,1683971204
106,ta`u,-14.2336,-169.5144,81.64,76,1,7.23,AS,1683971205
107,nova vicosa,-17.8919,-39.3719,72.9,90,100,7.0,BR,1683971205
108,calca,-13.3333,-71.95,47.37,86,97,1.57,PE,1683971206
109,georgetown,5.4112,100.3354,94.95,63,40,9.22,MY,1683970973
110,sinabang,2.4803,96.3801,85.86,70,78,7.47,ID,1683971207
111,luena,-11.7833,19.9167,79.09,31,66,4.12,AO,1683971207
112,tazovsky,67.4667,78.7,22.21,82,80,17.0,RU,1683971208
113,miches,18.9836,-69.0476,75.09,90,74,7.11,DO,1683971208
114,trincomalee,8.5711,81.2335,89.69,63,72,21.68,LK,1683971209
115,acarau,-2.8856,-40.12,76.86,92,67,8.59,BR,1683971209
116,bikenibeu village,1.3673,173.1241,84.16,84,20,8.05,KI,1683971210
117,papatowai,-46.5619,169.4708,53.62,78,99,5.99,NZ,1683971210
118,wainwright,52.839,-110.8572,52.18,79,1,7.81,CA,1683971211
119,sinop,41.7711,34.8709,58.37,54,66,10.71,TR,1683971212
120,trondheim,63.4305,10.3951,56.98,70,40,0.69,NO,1683971212
121,benjamin constant,-4.3831,-70.0311,75.33,99,70,2.15,BR,1683971213
122,ust-nera,64.5667,143.2,31.46,94,100,8.9,RU,1683971213
